iter	Passed	Remaining
901	11091	1205
902	11102	1192
903	11112	1180
904	11123	1167
905	11134	1155
906	11146	1142
907	11157	1130
908	11166	1117
909	11183	1106
910	11194	1093
911	11212	1081
912	11220	1069
913	11230	1056
914	11243	1044
915	11255	1032
916	11265	1019
917	11280	1007
918	11292	995
919	11304	982
920	11316	970
921	11333	958
922	11346	946
923	11357	934
924	11367	921
925	11379	909
926	11389	896
927	11400	884
928	11419	872
929	11460	862
930	11484	851
931	11505	839
932	11519	827
933	11529	814
934	11538	802
935	11548	789
936	11556	777
937	11569	764
938	11578	752
939	11589	739
940	11601	727
941	11613	715
942	11624	702
943	11634	690
944	11643	677
945	11653	665
946	11666	652
947	11678	640
948	11694	628
949	11721	616
950	11736	604
951	11749	592
952	11762	580
953	11774	567
954	11785	555
955	11795	542
956	11805	530
957	11815	518
958	11827	505
959	11838	493
960	11853	481
961	11863	468
962	11876	456
963	11886	443
964	11895	431
965	11905	419
966	11913	406
967	11922	394
968	11930	381
969	11939	369
970	11947	356
971	11956	344
972	11965	332
973	11974	319
974	11983	307
975	11992	294
976	12001	282
977	12010	270
978	12020	257
979	12028	245
980	12037	233
981	12045	220
982	12054	208
983	12067	196
984	12079	183
985	12089	171
986	12100	159
987	12109	147
988	12118	134
989	12131	122
990	12151	110
991	12165	98
992	12175	85
993	12185	73
994	12198	61
995	12208	49
996	12218	36
997	12226	24
998	12236	12
999	12247	0
